A;RTSALEDATA;002;20230626 01:08;VALNET;;;;;;;;;;;;;;;;;;;
B;002;4191240;1;20230626 01:08;;;471;DUNGOG RD;HILLDALE;2420;88.08;H;20230426;20230621;1450000;RU1;V;VACANT LAND;;RAH;;0;AT194101
C;002;4191240;1;20230626 01:08;5/1248814;;;;;;;;;;;;;;;;;;
D;002;4191240;1;20230626 01:08;P;;;;;;;;;;;;;;;;;;
D;002;4191240;1;20230626 01:08;P;;;;;;;;;;;;;;;;;;
D;002;4191240;1;20230626 01:08;V;;;;;;;;;;;;;;;;;;
B;002;22549;2;20230626 01:08;;;22;CORY ST;MARTINS CREEK;2420;1593;M;20230503;20230619;527000;RU5;R;RESIDENCE;;RAB;;0;AT187672
C;002;22549;2;20230626 01:08;10/8819;;;;;;;;;;;;;;;;;;
D;002;22549;2;20230626 01:08;P;;;;;;;;;;;;;;;;;;
D;002;22549;2;20230626 01:08;V;;;;;;;;;;;;;;;;;;
B;002;22622;3;20230626 01:08;;;22;CHURCH ST;GRESFORD;2311;3452;M;20230525;20230622;160000;RU5;R;RESIDENCE;;RAB;;0;AT197698
C;002;22622;3;20230626 01:08;20/192564;;;;;;;;;;;;;;;;;;
D;002;22622;3;20230626 01:08;P;;;;;;;;;;;;;;;;;;
D;002;22622;3;20230626 01:08;V;;;;;;;;;;;;;;;;;;
B;002;22958;4;20230626 01:08;;;67;CORY ST;MARTINS CREEK;2420;644.9;M;20230421;20230616;488000;RU5;R;RESIDENCE;;RAB;;0;AT181707
C;002;22958;4;20230626 01:08;260/545311;;;;;;;;;;;;;;;;;;
D;002;22958;4;20230626 01:08;P;;;;;;;;;;;;;;;;;;
D;002;22958;4;20230626 01:08;V;;;;;;;;;;;;;;;;;;
B;002;21330;5;20230626 01:08;;;22;BROWN ST;DUNGOG;2420;851.9;M;20230509;20230620;110000;E1;3;COMMERCIAL;;ELD;;0;AT191365
C;002;21330;5;20230626 01:08;10/859727;;;;;;;;;;;;;;;;;;
D;002;21330;5;20230626 01:08;P;;;;;;;;;;;;;;;;;;
D;002;21330;5;20230626 01:08;V;;;;;;;;;;;;;;;;;;
D;002;21330;5;20230626 01:08;V;;;;;;;;;;;;;;;;;;
Z;24;5;5;12;;;;;;;;;;;;;;;;;;;
