A;RTSALEDATA;007;20230731 01:08;VALNET;;;;;;;;;;;;;;;;;;;
B;007;3432913;1;20230731 01:08;;;721;NEW ENGLAND HWY;ABERDEEN;2336;61.81;H;20230606;20230718;2352500;RU1;3;FARM;;RW;;0;AT273007
C;007;3432913;1;20230731 01:08;170/723261 7/844651;;;;;;;;;;;;;;;;;;
D;007;3432913;1;20230731 01:08;P;;;;;;;;;;;;;;;;;;
D;007;3432913;1;20230731 01:08;V;;;;;;;;;;;;;;;;;;
D;007;3432913;1;20230731 01:08;V;;;;;;;;;;;;;;;;;;
B;007;2993883;2;20230731 01:08;;;178;QUEEN ST;MUSWELLBROOK;2333;2427;M;20230627;20230725;1010000;R1;R;RESIDENCE;;AM;;0;AT294012
C;007;2993883;2;20230731 01:08;10/1053235;;;;;;;;;;;;;;;;;;
D;007;2993883;2;20230731 01:08;P;;;;;;;;;;;;;;;;;;
D;007;2993883;2;20230731 01:08;P;;;;;;;;;;;;;;;;;;
D;007;2993883;2;20230731 01:08;V;;;;;;;;;;;;;;;;;;
D;007;2993883;2;20230731 01:08;V;;;;;;;;;;;;;;;;;;
B;007;197260;3;20230731 01:08;;;47;ANZAC PDE;MUSWELLBROOK;2333;689.2;M;20230614;20230726;370000;R1;R;RESIDENCE;;AH;;0;AT297137
C;007;197260;3;20230731 01:08;83/237872;;;;;;;;;;;;;;;;;;
D;007;197260;3;20230731 01:08;P;;;;;;;;;;;;;;;;;;
D;007;197260;3;20230731 01:08;V;;;;;;;;;;;;;;;;;;
B;007;200130;4;20230731 01:08;;;43;RUTH WHITE AVE;MUSWELLBROOK;2333;758.8;M;20230627;20230725;385000;R1;R;RESIDENCE;;AC;;0;AT294785
C;007;200130;4;20230731 01:08;4/229323;;;;;;;;;;;;;;;;;;
D;007;200130;4;20230731 01:08;P;;;;;;;;;;;;;;;;;;
D;007;200130;4;20230731 01:08;V;;;;;;;;;;;;;;;;;;
B;007;197662;5;20230731 01:08;;;159;BRIDGE ST;MUSWELLBROOK;2333;455.3;M;20230623;20230721;340000;E2;R;RESIDENCE;;ECC;;0;AT287619
C;007;197662;5;20230731 01:08;1/158110;;;;;;;;;;;;;;;;;;
D;007;197662;5;20230731 01:08;P;;;;;;;;;;;;;;;;;;
D;007;197662;5;20230731 01:08;P;;;;;;;;;;;;;;;;;;
D;007;197662;5;20230731 01:08;V;;;;;;;;;;;;;;;;;;
B;007;200442;6;20230731 01:08;;;7;SHIRAZ ST;MUSWELLBROOK;2333;947.1;M;20230606;20230721;380000;R1;R;RESIDENCE;;AM;;0;AT285929
C;007;200442;6;20230731 01:08;62/260809;;;;;;;;;;;;;;;;;;
D;007;200442;6;20230731 01:08;P;;;;;;;;;;;;;;;;;;
D;007;200442;6;20230731 01:08;P;;;;;;;;;;;;;;;;;;
D;007;200442;6;20230731 01:08;V;;;;;;;;;;;;;;;;;;
B;007;4332975;7;20230731 01:08;;;35 A;LOU FISHER PL;MUSWELLBROOK;2333;397;M;20230609;20230721;430000;;R;RESIDENCE;2;;;0;AT286748
C;007;4332975;7;20230731 01:08;2/SP101423;;;;;;;;;;;;;;;;;;
D;007;4332975;7;20230731 01:08;P;;;;;;;;;;;;;;;;;;
D;007;4332975;7;20230731 01:08;V;;;;;;;;;;;;;;;;;;
Z;35;7;7;19;;;;;;;;;;;;;;;;;;;
