A;RTSALEDATA;043;20230515 01:07;VALNET;;;;;;;;;;;;;;;;;;;
B;043;478644;1;20230515 01:07;;;15;PINNACLE RD;GRENFELL;2810;285.3;H;20230403;20230508;2643750;RU1;3;FARM;;RMG;;0;AT69312
C;043;478644;1;20230515 01:07;6, 7, 15/750639;;;;;;;;;;;;;;;;;;
D;043;478644;1;20230515 01:07;P;;;;;;;;;;;;;;;;;;
D;043;478644;1;20230515 01:07;V;;;;;;;;;;;;;;;;;;
D;043;478644;1;20230515 01:07;V;;;;;;;;;;;;;;;;;;
B;043;478873;2;20230515 01:07;;;57;CAMP ST;GRENFELL;2810;916.9;M;20230414;20230510;350000;R1;R;RESIDENCE;;AGR;;0;AT75895
C;043;478873;2;20230515 01:07;1/210839;;;;;;;;;;;;;;;;;;
D;043;478873;2;20230515 01:07;P;;;;;;;;;;;;;;;;;;
D;043;478873;2;20230515 01:07;P;;;;;;;;;;;;;;;;;;
D;043;478873;2;20230515 01:07;V;;;;;;;;;;;;;;;;;;
D;043;478873;2;20230515 01:07;V;;;;;;;;;;;;;;;;;;
B;043;478996;3;20230515 01:07;;;28;EAST ST;GRENFELL;2810;670.3;M;20230331;20230510;280000;R1;R;RESIDENCE;;AGR;;0;AT73123
C;043;478996;3;20230515 01:07;B/355185;;;;;;;;;;;;;;;;;;
D;043;478996;3;20230515 01:07;P;;;;;;;;;;;;;;;;;;
D;043;478996;3;20230515 01:07;P;;;;;;;;;;;;;;;;;;
D;043;478996;3;20230515 01:07;V;;;;;;;;;;;;;;;;;;
Z;18;3;3;10;;;;;;;;;;;;;;;;;;;
