A;RTSALEDATA;052;20230612 01:08;VALNET;;;;;;;;;;;;;;;;;;;
B;052;509619;1;20230612 01:08;;;10;AIDAN ST;HILLSTON;2675;1783;M;20230504;20230602;225000;RU5;R;RESIDENCE;;HHT;;0;AT141223
C;052;509619;1;20230612 01:08;8/35909;;;;;;;;;;;;;;;;;;
D;052;509619;1;20230612 01:08;P;;;;;;;;;;;;;;;;;;
D;052;509619;1;20230612 01:08;V;;;;;;;;;;;;;;;;;;
B;052;4489185;2;20230612 01:08;;;;PLEASANT VALLEY RD;BINYA;2665;219.1;H;20221111;20230509;400000;;3;FARM;;;;0;AT71750
C;052;4489185;2;20230612 01:08;2/633965;;;;;;;;;;;;;;;;;;
D;052;4489185;2;20230612 01:08;P;;;;;;;;;;;;;;;;;;
D;052;4489185;2;20230612 01:08;V;;;;;;;;;;;;;;;;;;
B;052;4489938;3;20230612 01:08;;;;PLEASANT VALLEY RD;BINYA;2665;471.09;H;20230310;20230421;520000;;3;FARM;;;;0;AT28817
C;052;4489938;3;20230612 01:08;20, 21/751733;;;;;;;;;;;;;;;;;;
D;052;4489938;3;20230612 01:08;P;;;;;;;;;;;;;;;;;;
D;052;4489938;3;20230612 01:08;P;;;;;;;;;;;;;;;;;;
D;052;4489938;3;20230612 01:08;V;;;;;;;;;;;;;;;;;;
D;052;4489938;3;20230612 01:08;V;;;;;;;;;;;;;;;;;;
Z;16;3;3;8;;;;;;;;;;;;;;;;;;;
