A;RTSALEDATA;052;20230731 01:08;VALNET;;;;;;;;;;;;;;;;;;;
B;052;509847;1;20230731 01:08;;;2;GRATTAN ST;HILLSTON;2675;1706;M;20230703;20230721;400000;RU5;R;RESIDENCE;;HHT;;0;AT285541
C;052;509847;1;20230731 01:08;4/844220;;;;;;;;;;;;;;;;;;
D;052;509847;1;20230731 01:08;P;;;;;;;;;;;;;;;;;;
D;052;509847;1;20230731 01:08;P;;;;;;;;;;;;;;;;;;
D;052;509847;1;20230731 01:08;V;;;;;;;;;;;;;;;;;;
D;052;509847;1;20230731 01:08;V;;;;;;;;;;;;;;;;;;
B;052;4255633;2;20230731 01:08;;;;TABBITA LANE;TABBITA;2652;985.5;H;20230523;20230724;6142400;RU1;3;FARM;;RCG;;0;AT289247
C;052;4255633;2;20230731 01:08;34, 35, 36/756045;;;;;;;;;;;;;;;;;;
D;052;4255633;2;20230731 01:08;P;;;;;;;;;;;;;;;;;;
D;052;4255633;2;20230731 01:08;V;;;;;;;;;;;;;;;;;;
B;052;4255634;3;20230731 01:08;;;;KIDMAN WAY;TABBITA;2652;12.55;H;20230523;20230724;57600;RU1;3;FARM;;RCG;;0;AT289246
C;052;4255634;3;20230731 01:08;1/1239137;;;;;;;;;;;;;;;;;;
D;052;4255634;3;20230731 01:08;P;;;;;;;;;;;;;;;;;;
D;052;4255634;3;20230731 01:08;V;;;;;;;;;;;;;;;;;;
Z;16;3;3;8;;;;;;;;;;;;;;;;;;;
