A;RTSALEDATA;070;20230710 01:09;VALNET;;;;;;;;;;;;;;;;;;;
B;070;3101224;1;20230710 01:09;;;74;BENDEE ST;BARELLAN;2665;4046;M;20230629;20230630;350000;RU5;3;COMMERCIAL;;BAR;;0;AT228644
C;070;3101224;1;20230710 01:09;1, 2/9/758052;;;;;;;;;;;;;;;;;;
D;070;3101224;1;20230710 01:09;P;;;;;;;;;;;;;;;;;;
D;070;3101224;1;20230710 01:09;P;;;;;;;;;;;;;;;;;;
D;070;3101224;1;20230710 01:09;V;;;;;;;;;;;;;;;;;;
B;070;551610;2;20230710 01:09;;;56;TWYNAM ST;NARRANDERA;2700;1012;M;20230614;20230703;269000;RU5;R;RESIDENCE;;NVM;;0;AT233506
C;070;551610;2;20230710 01:09;1/357280;;;;;;;;;;;;;;;;;;
D;070;551610;2;20230710 01:09;P;;;;;;;;;;;;;;;;;;
D;070;551610;2;20230710 01:09;V;;;;;;;;;;;;;;;;;;
B;070;551621;3;20230710 01:09;;;76;TWYNAM ST;NARRANDERA;2700;1012;M;20230609;20230703;175000;RU5;R;RESIDENCE;;NVM;;0;AT233514
C;070;551621;3;20230710 01:09;A/318430;;;;;;;;;;;;;;;;;;
D;070;551621;3;20230710 01:09;P;;;;;;;;;;;;;;;;;;
D;070;551621;3;20230710 01:09;V;;;;;;;;;;;;;;;;;;
B;070;4454810;4;20230710 01:09;;;23;DROVER PL;NARRANDERA;2700;27.82;H;20220721;20230629;667436;E4;V;VACANT LAND;;GID;;0;AT223038
C;070;4454810;4;20230710 01:09;67/1288793;;;;;;;;;;;;;;;;;;
D;070;4454810;4;20230710 01:09;P;;;;;;;;;;;;;;;;;;
D;070;4454810;4;20230710 01:09;V;;;;;;;;;;;;;;;;;;
B;070;4454813;5;20230710 01:09;;;5;DROVER PL;NARRANDERA;2700;3.63;H;20220602;20230630;392040;E4;V;VACANT LAND;;GID;;0;AT225303
C;070;4454813;5;20230710 01:09;70/1288793;;;;;;;;;;;;;;;;;;
D;070;4454813;5;20230710 01:09;P;;;;;;;;;;;;;;;;;;
D;070;4454813;5;20230710 01:09;V;;;;;;;;;;;;;;;;;;
B;070;4454814;6;20230710 01:09;;;11;DROVER PL;NARRANDERA;2700;3.498;H;20220602;20230630;392040;E4;V;VACANT LAND;;GID;;0;AT225303
C;070;4454814;6;20230710 01:09;71/1288793;;;;;;;;;;;;;;;;;;
D;070;4454814;6;20230710 01:09;P;;;;;;;;;;;;;;;;;;
D;070;4454814;6;20230710 01:09;V;;;;;;;;;;;;;;;;;;
Z;27;6;6;13;;;;;;;;;;;;;;;;;;;
