A;RTSALEDATA;109;20230424 01:09;VALNET;;;;;;;;;;;;;;;;;;;
B;109;1215846;1;20230424 01:09;;;;THOMPSON ST;CANOWINDRA;2804;1803;M;20230314;20230418;370000;R1;R;RESIDENCE;;ZNC;;0;AT14552
C;109;1215846;1;20230424 01:09;2/813502;;;;;;;;;;;;;;;;;;
D;109;1215846;1;20230424 01:09;P;;;;;;;;;;;;;;;;;;
D;109;1215846;1;20230424 01:09;V;;;;;;;;;;;;;;;;;;
B;109;1219559;2;20230424 01:09;;;;OLD BOCOBRA RD;BOCOBRA;2865;617.9;H;20230330;20230418;650000;RU1;3;FARM;;RGW;;0;AT14564
C;109;1219559;2;20230424 01:09;1/537232 47, 67, 69, 79, 80, 86, 87/750188;;;;;;;;;;;;;;;;;;
D;109;1219559;2;20230424 01:09;P;;;;;;;;;;;;;;;;;;
D;109;1219559;2;20230424 01:09;P;;;;;;;;;;;;;;;;;;
D;109;1219559;2;20230424 01:09;V;;;;;;;;;;;;;;;;;;
B;109;3971094;3;20230424 01:09;;;75;JOBS RD;YEOVAL;2868;9.409;H;20230303;20230414;265000;RU1;3;FARM;;RHA;;0;AT8435
C;109;3971094;3;20230424 01:09;147/753223 Enclosure Permit 41220;;;;;;;;;;;;;;;;;;
D;109;3971094;3;20230424 01:09;P;;;;;;;;;;;;;;;;;;
D;109;3971094;3;20230424 01:09;V;;;;;;;;;;;;;;;;;;
Z;15;3;3;7;;;;;;;;;;;;;;;;;;;
