A;RTSALEDATA;187;20230828 01:11;VALNET;;;;;;;;;;;;;;;;;;;
B;187;4502630;1;20230828 01:11;TULCUMBAH;;2850;ORANGE GROVE RD;ORANGE GROVE;2380;1.183;H;20200622;20230726;2409;;V;VACANT LAND;;;;0;AT304863
C;187;4502630;1;20230828 01:11;2/1266187;;;;;;;;;;;;;;;;;;
D;187;4502630;1;20230828 01:11;P;;;;;;;;;;;;;;;;;;
D;187;4502630;1;20230828 01:11;P;;;;;;;;;;;;;;;;;;
D;187;4502630;1;20230828 01:11;V;;;;;;;;;;;;;;;;;;
B;187;1849833;2;20230828 01:11;;;3;EIGHTH DIVISION MEMORIAL AVE;GUNNEDAH;2380;1012;M;20230620;20230818;490000;R3;R;RESIDENCE;;AAF;;0;AT364827
C;187;1849833;2;20230828 01:11;411/755503;;;;;;;;;;;;;;;;;;
D;187;1849833;2;20230828 01:11;P;;;;;;;;;;;;;;;;;;
D;187;1849833;2;20230828 01:11;V;;;;;;;;;;;;;;;;;;
B;187;1851212;3;20230828 01:11;;;47;MARION ST;GUNNEDAH;2380;809.4;M;20230711;20230818;415000;R2;R;RESIDENCE;;AAS;;0;AT363735
C;187;1851212;3;20230828 01:11;22/32033;;;;;;;;;;;;;;;;;;
D;187;1851212;3;20230828 01:11;P;;;;;;;;;;;;;;;;;;
D;187;1851212;3;20230828 01:11;V;;;;;;;;;;;;;;;;;;
B;187;1851010;4;20230828 01:11;;;131;LITTLE BARBER ST;GUNNEDAH;2380;1012;M;20230720;20230818;88000;R3;R;RESIDENCE;;AAF;;40;AT364032
C;187;1851010;4;20230828 01:11;A/335540;;;;;;;;;;;;;;;;;;
D;187;1851010;4;20230828 01:11;P;;;;;;;;;;;;;;;;;;
D;187;1851010;4;20230828 01:11;V;;;;;;;;;;;;;;;;;;
D;187;1851010;4;20230828 01:11;V;;;;;;;;;;;;;;;;;;
B;187;1848706;5;20230828 01:11;;7;2;ANZAC PDE;GUNNEDAH;2380;;;20230719;20230818;265000;;R;RESIDENCE;7;;;0;AT363683
C;187;1848706;5;20230828 01:11;7/SP16338;;;;;;;;;;;;;;;;;;
D;187;1848706;5;20230828 01:11;P;;;;;;;;;;;;;;;;;;
D;187;1848706;5;20230828 01:11;V;;;;;;;;;;;;;;;;;;
B;187;1851615;6;20230828 01:11;;;5;RESERVOIR ST;GUNNEDAH;2380;1233;M;20230711;20230822;430000;R3;R;RESIDENCE;;AAF;;0;AT375138
C;187;1851615;6;20230828 01:11;509/755503;;;;;;;;;;;;;;;;;;
D;187;1851615;6;20230828 01:11;P;;;;;;;;;;;;;;;;;;
D;187;1851615;6;20230828 01:11;P;;;;;;;;;;;;;;;;;;
D;187;1851615;6;20230828 01:11;V;;;;;;;;;;;;;;;;;;
D;187;1851615;6;20230828 01:11;V;;;;;;;;;;;;;;;;;;
B;187;1849262;7;20230828 01:11;;;1;BORONIA AVE;GUNNEDAH;2380;908.7;M;20230710;20230821;440000;R2;R;RESIDENCE;;AAS;;0;AT368817
C;187;1849262;7;20230828 01:11;11/807919;;;;;;;;;;;;;;;;;;
D;187;1849262;7;20230828 01:11;P;;;;;;;;;;;;;;;;;;
D;187;1849262;7;20230828 01:11;P;;;;;;;;;;;;;;;;;;
D;187;1849262;7;20230828 01:11;V;;;;;;;;;;;;;;;;;;
B;187;1853271;8;20230828 01:11;;;36;PARNELL ST;CURLEWIS;2381;2023;M;20230707;20230818;150000;RU5;R;RESIDENCE;;AAX;;0;AT366728
C;187;1853271;8;20230828 01:11;1/14/758320;;;;;;;;;;;;;;;;;;
D;187;1853271;8;20230828 01:11;P;;;;;;;;;;;;;;;;;;
D;187;1853271;8;20230828 01:11;P;;;;;;;;;;;;;;;;;;
D;187;1853271;8;20230828 01:11;V;;;;;;;;;;;;;;;;;;
B;187;1853329;9;20230828 01:11;;;59;PULLAMING ST;CURLEWIS;2381;2046;M;20230704;20230818;329000;RU5;R;RESIDENCE;;AAX;;0;AT363373
C;187;1853329;9;20230828 01:11;16/259196 15/20/758320;;;;;;;;;;;;;;;;;;
D;187;1853329;9;20230828 01:11;P;;;;;;;;;;;;;;;;;;
D;187;1853329;9;20230828 01:11;P;;;;;;;;;;;;;;;;;;
D;187;1853329;9;20230828 01:11;V;;;;;;;;;;;;;;;;;;
B;187;4466266;10;20230828 01:11;;;53;GORAN ST;CURLEWIS;2381;2023;M;20230711;20230822;55000;RU5;R;RESIDENCE;;AAX;;0;AT373387
C;187;4466266;10;20230828 01:11;2/16/758320;;;;;;;;;;;;;;;;;;
D;187;4466266;10;20230828 01:11;P;;;;;;;;;;;;;;;;;;
D;187;4466266;10;20230828 01:11;V;;;;;;;;;;;;;;;;;;
Z;49;10;10;27;;;;;;;;;;;;;;;;;;;
