A;RTSALEDATA;188;20230710 01:12;VALNET;;;;;;;;;;;;;;;;;;;
B;188;3445529;1;20230710 01:12;GURALL;;64;WELLS CROSSING RD;ASHFORD;2361;23.37;H;20221123;20230630;654000;RU1;3;FARM;;RMF;;0;AT229100
C;188;3445529;1;20230710 01:12;58/750083 65/1119806;;;;;;;;;;;;;;;;;;
D;188;3445529;1;20230710 01:12;P;;;;;;;;;;;;;;;;;;
D;188;3445529;1;20230710 01:12;P;;;;;;;;;;;;;;;;;;
D;188;3445529;1;20230710 01:12;V;;;;;;;;;;;;;;;;;;
D;188;3445529;1;20230710 01:12;V;;;;;;;;;;;;;;;;;;
B;188;3020734;2;20230710 01:12;;;16;COOLIBAH DR;INVERELL;2360;1116;M;20230526;20230630;727500;R1;R;RESIDENCE;;ATD;;0;AT229471
C;188;3020734;2;20230710 01:12;2/1055201;;;;;;;;;;;;;;;;;;
D;188;3020734;2;20230710 01:12;P;;;;;;;;;;;;;;;;;;
D;188;3020734;2;20230710 01:12;P;;;;;;;;;;;;;;;;;;
D;188;3020734;2;20230710 01:12;V;;;;;;;;;;;;;;;;;;
D;188;3020734;2;20230710 01:12;V;;;;;;;;;;;;;;;;;;
B;188;3024915;3;20230710 01:12;;1;80;O'CONNOR ST;INVERELL;2360;380.6;M;20230615;20230630;370000;R1;R;RESIDENCE;;ATF;;0;AT227546
C;188;3024915;3;20230710 01:12;31/1058053;;;;;;;;;;;;;;;;;;
D;188;3024915;3;20230710 01:12;P;;;;;;;;;;;;;;;;;;
D;188;3024915;3;20230710 01:12;V;;;;;;;;;;;;;;;;;;
D;188;3024915;3;20230710 01:12;V;;;;;;;;;;;;;;;;;;
B;188;1857959;4;20230710 01:12;;;10;DEODARA DR;INVERELL;2360;734.9;M;20230608;20230706;465000;R1;R;RESIDENCE;;ATB;;0;AT241365
C;188;1857959;4;20230710 01:12;12/842483;;;;;;;;;;;;;;;;;;
D;188;1857959;4;20230710 01:12;P;;;;;;;;;;;;;;;;;;
D;188;1857959;4;20230710 01:12;P;;;;;;;;;;;;;;;;;;
D;188;1857959;4;20230710 01:12;V;;;;;;;;;;;;;;;;;;
B;188;1861092;5;20230710 01:12;;;3;WILLIAM ST;INVERELL;2360;604;M;20230516;20230703;210000;R1;R;RESIDENCE;;ATC;;0;AT230562
C;188;1861092;5;20230710 01:12;3/616082;;;;;;;;;;;;;;;;;;
D;188;1861092;5;20230710 01:12;P;;;;;;;;;;;;;;;;;;
D;188;1861092;5;20230710 01:12;V;;;;;;;;;;;;;;;;;;
D;188;1861092;5;20230710 01:12;V;;;;;;;;;;;;;;;;;;
B;188;1861197;6;20230710 01:12;;;77;WYNNE ST;INVERELL;2360;1.507;H;20230530;20230706;185000;R1;R;RESIDENCE;;ATC;;0;AT243548
C;188;1861197;6;20230710 01:12;1/150376 13, 14/1085458 11/1131784;;;;;;;;;;;;;;;;;;
D;188;1861197;6;20230710 01:12;P;;;;;;;;;;;;;;;;;;
D;188;1861197;6;20230710 01:12;P;;;;;;;;;;;;;;;;;;
D;188;1861197;6;20230710 01:12;V;;;;;;;;;;;;;;;;;;
D;188;1861197;6;20230710 01:12;V;;;;;;;;;;;;;;;;;;
B;188;1859549;7;20230710 01:12;;;41;MAY ST;INVERELL;2360;701.9;M;20230519;20230630;285000;R1;R;RESIDENCE;;ATE;;0;AT224045
C;188;1859549;7;20230710 01:12;5/23123;;;;;;;;;;;;;;;;;;
D;188;1859549;7;20230710 01:12;P;;;;;;;;;;;;;;;;;;
D;188;1859549;7;20230710 01:12;V;;;;;;;;;;;;;;;;;;
D;188;1859549;7;20230710 01:12;V;;;;;;;;;;;;;;;;;;
B;188;3181840;8;20230710 01:12;;;3 B;KINGFISHER DR;INVERELL;2360;377.8;M;20230616;20230705;375000;R1;R;RESIDENCE;;ATB;;0;AT238144
C;188;3181840;8;20230710 01:12;1/1083473;;;;;;;;;;;;;;;;;;
D;188;3181840;8;20230710 01:12;P;;;;;;;;;;;;;;;;;;
D;188;3181840;8;20230710 01:12;P;;;;;;;;;;;;;;;;;;
D;188;3181840;8;20230710 01:12;V;;;;;;;;;;;;;;;;;;
B;188;1857666;9;20230710 01:12;;;9;CAMERON ST;INVERELL;2360;601.6;M;20230628;20230706;330000;R1;R;RESIDENCE;;ATC;;0;AT244140
C;188;1857666;9;20230710 01:12;1/588471;;;;;;;;;;;;;;;;;;
D;188;1857666;9;20230710 01:12;P;;;;;;;;;;;;;;;;;;
D;188;1857666;9;20230710 01:12;V;;;;;;;;;;;;;;;;;;
B;188;4298091;10;20230710 01:12;;;68;MATHER ST;INVERELL;2360;1020;M;20230525;20230706;160000;R1;R;RESIDENCE;;ATB;;0;AT242371
C;188;4298091;10;20230710 01:12;37/1262135;;;;;;;;;;;;;;;;;;
D;188;4298091;10;20230710 01:12;P;;;;;;;;;;;;;;;;;;
D;188;4298091;10;20230710 01:12;V;;;;;;;;;;;;;;;;;;
D;188;4298091;10;20230710 01:12;V;;;;;;;;;;;;;;;;;;
Z;54;10;10;32;;;;;;;;;;;;;;;;;;;
