A;RTSALEDATA;231;20230220 01:08;VALNET;;;;;;;;;;;;;;;;;;;
B;231;3379716;1;20230220 01:08;;;2387;WAARBILLA RD;BACK CREEK;2671;856.3;H;20221205;20230202;6771200;RU1;3;FARM;;RMF;;0;AS834588
C;231;3379716;1;20230220 01:08;61/750631 Enclosure Permit 60234;;;;;;;;;;;;;;;;;;
D;231;3379716;1;20230220 01:08;P;;;;;;;;;;;;;;;;;;
D;231;3379716;1;20230220 01:08;P;;;;;;;;;;;;;;;;;;
D;231;3379716;1;20230220 01:08;V;;;;;;;;;;;;;;;;;;
D;231;3379716;1;20230220 01:08;V;;;;;;;;;;;;;;;;;;
B;231;2608814;2;20230220 01:08;;;23;BROWN ST;WEST WYALONG;2671;1429;M;20230113;20230210;430000;R1;R;RESIDENCE;;WWN;;0;AS852061
C;231;2608814;2;20230220 01:08;14/602951;;;;;;;;;;;;;;;;;;
D;231;2608814;2;20230220 01:08;P;;;;;;;;;;;;;;;;;;
D;231;2608814;2;20230220 01:08;P;;;;;;;;;;;;;;;;;;
D;231;2608814;2;20230220 01:08;V;;;;;;;;;;;;;;;;;;
B;231;2609106;3;20230220 01:08;;;43;GLADSTONE ST;WEST WYALONG;2671;733.5;M;20230111;20230210;114500;R1;R;RESIDENCE;;WWN;;0;AS853397
C;231;2609106;3;20230220 01:08;1249/753135;;;;;;;;;;;;;;;;;;
D;231;2609106;3;20230220 01:08;P;;;;;;;;;;;;;;;;;;
D;231;2609106;3;20230220 01:08;P;;;;;;;;;;;;;;;;;;
D;231;2609106;3;20230220 01:08;V;;;;;;;;;;;;;;;;;;
D;231;2609106;3;20230220 01:08;V;;;;;;;;;;;;;;;;;;
B;231;2609624;4;20230220 01:08;;;53;OPERATOR ST;WEST WYALONG;2671;752.5;M;20221212;20230210;310000;R1;R;RESIDENCE;;WWN;;0;AS851686
C;231;2609624;4;20230220 01:08;A/414803;;;;;;;;;;;;;;;;;;
D;231;2609624;4;20230220 01:08;P;;;;;;;;;;;;;;;;;;
D;231;2609624;4;20230220 01:08;P;;;;;;;;;;;;;;;;;;
D;231;2609624;4;20230220 01:08;V;;;;;;;;;;;;;;;;;;
Z;24;4;4;14;;;;;;;;;;;;;;;;;;;
