A;RTSALEDATA;236;20230703 01:13;VALNET;;;;;;;;;;;;;;;;;;;
B;236;3072064;1;20230703 01:13;;;22;BALOWRA RD;NYMAGEE;2831;5.37;H;20230622;20230628;100000;RU1;V;VACANT LAND;;RNT;;0;AT214467
C;236;3072064;1;20230703 01:13;30/754803;;;;;;;;;;;;;;;;;;
D;236;3072064;1;20230703 01:13;P;;;;;;;;;;;;;;;;;;
D;236;3072064;1;20230703 01:13;V;;;;;;;;;;;;;;;;;;
B;236;2626360;2;20230703 01:13;;;1;BLAKEY ST;COBAR;2835;1783;M;20230529;20230629;315000;R2;R;RESIDENCE;;ACC;;0;AT218266
C;236;2626360;2;20230703 01:13;8/6/459;;;;;;;;;;;;;;;;;;
D;236;2626360;2;20230703 01:13;P;;;;;;;;;;;;;;;;;;
D;236;2626360;2;20230703 01:13;V;;;;;;;;;;;;;;;;;;
B;236;2626361;3;20230703 01:13;;;5;BLAKEY ST;COBAR;2835;1783;M;20230529;20230629;100000;R2;V;VACANT LAND;;ACC;;0;AT218267
C;236;2626361;3;20230703 01:13;7/6/459;;;;;;;;;;;;;;;;;;
D;236;2626361;3;20230703 01:13;P;;;;;;;;;;;;;;;;;;
D;236;2626361;3;20230703 01:13;V;;;;;;;;;;;;;;;;;;
B;236;3291662;4;20230703 01:13;;;7;BLAKEY ST;COBAR;2835;594.4;M;20230529;20230629;85000;R2;R;RESIDENCE;;ACC;;0;AT218268
C;236;3291662;4;20230703 01:13;B/341191;;;;;;;;;;;;;;;;;;
D;236;3291662;4;20230703 01:13;P;;;;;;;;;;;;;;;;;;
D;236;3291662;4;20230703 01:13;V;;;;;;;;;;;;;;;;;;
Z;18;4;4;8;;;;;;;;;;;;;;;;;;;
