A;RTSALEDATA;244;20230703 01:13;VALNET;;;;;;;;;;;;;;;;;;;
B;244;2648130;1;20230703 01:13;THE WOOLSHED;;2347;MOIRA VALE RD;TOTTENHAM;2873;516.1;H;20230516;20230627;1434375;RU1;3;FARM;;RRA;;0;AT211073
C;244;2648130;1;20230703 01:13;11/1008270;;;;;;;;;;;;;;;;;;
D;244;2648130;1;20230703 01:13;P;;;;;;;;;;;;;;;;;;
D;244;2648130;1;20230703 01:13;P;;;;;;;;;;;;;;;;;;
D;244;2648130;1;20230703 01:13;V;;;;;;;;;;;;;;;;;;
D;244;2648130;1;20230703 01:13;V;;;;;;;;;;;;;;;;;;
B;244;2649211;2;20230703 01:13;;;200;BATHURST ST;CONDOBOLIN;2877;929.5;M;20230623;20230623;180000;RU5;R;RESIDENCE;;ZCC;;0;AT203893
C;244;2649211;2;20230703 01:13;1/15937;;;;;;;;;;;;;;;;;;
D;244;2649211;2;20230703 01:13;P;;;;;;;;;;;;;;;;;;
D;244;2649211;2;20230703 01:13;V;;;;;;;;;;;;;;;;;;
B;244;2649213;3;20230703 01:13;;;;BATHURST ST;CONDOBOLIN;2877;1350.41;M;20230623;20230623;180000;RU5;R;RESIDENCE;;ZCC;;0;AT203893
C;244;2649213;3;20230703 01:13;8/15937;;;;;;;;;;;;;;;;;;
D;244;2649213;3;20230703 01:13;P;;;;;;;;;;;;;;;;;;
D;244;2649213;3;20230703 01:13;V;;;;;;;;;;;;;;;;;;
B;244;2650116;4;20230703 01:13;;;87;ORANGE ST;CONDOBOLIN;2877;1011.83;M;20230607;20230628;345000;RU5;R;RESIDENCE;;ZCC;;0;AT216026
C;244;2650116;4;20230703 01:13;21/R/7772;;;;;;;;;;;;;;;;;;
D;244;2650116;4;20230703 01:13;P;;;;;;;;;;;;;;;;;;
D;244;2650116;4;20230703 01:13;P;;;;;;;;;;;;;;;;;;
D;244;2650116;4;20230703 01:13;V;;;;;;;;;;;;;;;;;;
D;244;2650116;4;20230703 01:13;V;;;;;;;;;;;;;;;;;;
Z;22;4;4;12;;;;;;;;;;;;;;;;;;;
