A;RTSALEDATA;244;20230605 01:12;VALNET;;;;;;;;;;;;;;;;;;;
B;244;4079257;1;20230605 01:12;;;369;WEELAH RD;CONDOBOLIN;2877;535.9;H;20221221;20230531;1656250;RU1;3;FARM;;RRB;;0;AT133326
C;244;4079257;1;20230605 01:12;87/753073;;;;;;;;;;;;;;;;;;
D;244;4079257;1;20230605 01:12;P;;;;;;;;;;;;;;;;;;
D;244;4079257;1;20230605 01:12;P;;;;;;;;;;;;;;;;;;
D;244;4079257;1;20230605 01:12;P;;;;;;;;;;;;;;;;;;
D;244;4079257;1;20230605 01:12;V;;;;;;;;;;;;;;;;;;
B;244;2649990;2;20230605 01:12;;;20;NAPIER ST;CONDOBOLIN;2877;765.1;M;20230418;20230526;460000;RU5;R;RESIDENCE;;ZCC;;0;AT122218
C;244;2649990;2;20230605 01:12;2/237008;;;;;;;;;;;;;;;;;;
D;244;2649990;2;20230605 01:12;P;;;;;;;;;;;;;;;;;;
D;244;2649990;2;20230605 01:12;P;;;;;;;;;;;;;;;;;;
D;244;2649990;2;20230605 01:12;V;;;;;;;;;;;;;;;;;;
B;244;2650217;3;20230605 01:12;;;140;ORANGE ST;CONDOBOLIN;2877;714.5;M;20230511;20230531;220000;RU5;R;RESIDENCE;;ZCC;;0;AT135379
C;244;2650217;3;20230605 01:12;2/509767;;;;;;;;;;;;;;;;;;
D;244;2650217;3;20230605 01:12;P;;;;;;;;;;;;;;;;;;
D;244;2650217;3;20230605 01:12;P;;;;;;;;;;;;;;;;;;
D;244;2650217;3;20230605 01:12;V;;;;;;;;;;;;;;;;;;
D;244;2650217;3;20230605 01:12;V;;;;;;;;;;;;;;;;;;
Z;19;3;3;11;;;;;;;;;;;;;;;;;;;
