A;RTSALEDATA;244;20230717 01:12;VALNET;;;;;;;;;;;;;;;;;;;
B;244;2646421;1;20230717 01:12;MERITI;;3561;KERRIWAH RD;ALBERT;2873;534.6;H;20230523;20230710;1585200;RU1;3;FARM;;RRA;;0;AT252666
C;244;2646421;1;20230717 01:12;10/753968;;;;;;;;;;;;;;;;;;
D;244;2646421;1;20230717 01:12;P;;;;;;;;;;;;;;;;;;
D;244;2646421;1;20230717 01:12;P;;;;;;;;;;;;;;;;;;
D;244;2646421;1;20230717 01:12;P;;;;;;;;;;;;;;;;;;
D;244;2646421;1;20230717 01:12;P;;;;;;;;;;;;;;;;;;
D;244;2646421;1;20230717 01:12;V;;;;;;;;;;;;;;;;;;
D;244;2646421;1;20230717 01:12;V;;;;;;;;;;;;;;;;;;
B;244;2649774;2;20230717 01:12;;;61;MCDONNELL ST;CONDOBOLIN;2877;1025.63;M;20230626;20230713;155000;RU5;R;RESIDENCE;;ZCB;;0;AT262495
C;244;2649774;2;20230717 01:12;6/C/14503;;;;;;;;;;;;;;;;;;
D;244;2649774;2;20230717 01:12;P;;;;;;;;;;;;;;;;;;
D;244;2649774;2;20230717 01:12;V;;;;;;;;;;;;;;;;;;
D;244;2649774;2;20230717 01:12;V;;;;;;;;;;;;;;;;;;
B;244;4442122;3;20230717 01:12;;;235;MCINNES ST;LAKE CARGELLIGO;2672;5422;M;20230517;20230621;770000;RU5;R;RESIDENCE;;ZLC;;0;AT193057
C;244;4442122;3;20230717 01:12;PT 132/752329 5/787429 PT 7311/1141632 PT 7337/1150153 Licence 611923;;;;;;;;;;;;;;;;;;
D;244;4442122;3;20230717 01:12;P;;;;;;;;;;;;;;;;;;
D;244;4442122;3;20230717 01:12;P;;;;;;;;;;;;;;;;;;
D;244;4442122;3;20230717 01:12;V;;;;;;;;;;;;;;;;;;
D;244;4442122;3;20230717 01:12;V;;;;;;;;;;;;;;;;;;
Z;21;3;3;13;;;;;;;;;;;;;;;;;;;
