A;RTSALEDATA;247;20230206 01:08;VALNET;;;;;;;;;;;;;;;;;;;
B;247;4097802;1;20230206 01:08;WILGA;;974;MILLIE RD;BELLATA;2397;1089.479;H;20220727;20220909;27500000;RU1;3;FARM;;RRF;;0;AS465927
C;247;4097802;1;20230206 01:08;1/652478 25, 32/753941 1/1238135 Cl Rd;;;;;;;;;;;;;;;;;;
D;247;4097802;1;20230206 01:08;P;;;;;;;;;;;;;;;;;;
D;247;4097802;1;20230206 01:08;P;;;;;;;;;;;;;;;;;;
D;247;4097802;1;20230206 01:08;V;;;;;;;;;;;;;;;;;;
B;247;2658798;2;20230206 01:08;;;58;HINDS ST;NARRABRI;2390;1012;M;20221215;20230130;230000;R1;R;RESIDENCE;;ANE;;0;AS822723
C;247;2658798;2;20230206 01:08;3/23800;;;;;;;;;;;;;;;;;;
D;247;2658798;2;20230206 01:08;P;;;;;;;;;;;;;;;;;;
D;247;2658798;2;20230206 01:08;V;;;;;;;;;;;;;;;;;;
B;247;2656569;3;20230206 01:08;;;6;CHRISTY ST;WEE WAA;2388;1012;M;20221104;20230202;50000;B4;3;COMMERCIAL;;BWB;;0;AS835230
C;247;2656569;3;20230206 01:08;3/3/6458;;;;;;;;;;;;;;;;;;
D;247;2656569;3;20230206 01:08;P;;;;;;;;;;;;;;;;;;
D;247;2656569;3;20230206 01:08;V;;;;;;;;;;;;;;;;;;
B;247;2656793;4;20230206 01:08;;;85;BOUNDARY ST;WEE WAA;2388;1897;M;20221221;20230127;420000;R1;R;RESIDENCE;;AWA;;0;AS819397
C;247;2656793;4;20230206 01:08;14/533760;;;;;;;;;;;;;;;;;;
D;247;2656793;4;20230206 01:08;P;;;;;;;;;;;;;;;;;;
D;247;2656793;4;20230206 01:08;V;;;;;;;;;;;;;;;;;;
D;247;2656793;4;20230206 01:08;V;;;;;;;;;;;;;;;;;;
B;247;2657567;5;20230206 01:08;;;73;BALONNE ST;NARRABRI;2390;1012;M;20230116;20230202;435000;R1;R;RESIDENCE;;ANA;;0;AS835042
C;247;2657567;5;20230206 01:08;13B/331706;;;;;;;;;;;;;;;;;;
D;247;2657567;5;20230206 01:08;P;;;;;;;;;;;;;;;;;;
D;247;2657567;5;20230206 01:08;V;;;;;;;;;;;;;;;;;;
B;247;2657804;6;20230206 01:08;;;23;BLANCHE PEADON DR;NARRABRI;2390;607;M;20221201;20230201;250000;R1;R;RESIDENCE;;ANE;;0;AS828979
C;247;2657804;6;20230206 01:08;16/235885;;;;;;;;;;;;;;;;;;
D;247;2657804;6;20230206 01:08;P;;;;;;;;;;;;;;;;;;
D;247;2657804;6;20230206 01:08;V;;;;;;;;;;;;;;;;;;
B;247;2658619;7;20230206 01:08;;;29;GOOBAR ST;NARRABRI;2390;638.6;M;20221222;20230127;425000;R1;R;RESIDENCE;;AND;;0;AS818432
C;247;2658619;7;20230206 01:08;1/338445;;;;;;;;;;;;;;;;;;
D;247;2658619;7;20230206 01:08;P;;;;;;;;;;;;;;;;;;
D;247;2658619;7;20230206 01:08;P;;;;;;;;;;;;;;;;;;
D;247;2658619;7;20230206 01:08;V;;;;;;;;;;;;;;;;;;
D;247;2658619;7;20230206 01:08;V;;;;;;;;;;;;;;;;;;
B;247;2659360;8;20230206 01:08;;;19;MEELEE ST;NARRABRI;2390;1258.3;M;20221111;20230201;275000;R1;R;RESIDENCE;;AND;;0;AS829322
C;247;2659360;8;20230206 01:08;A/393625;;;;;;;;;;;;;;;;;;
D;247;2659360;8;20230206 01:08;P;;;;;;;;;;;;;;;;;;
D;247;2659360;8;20230206 01:08;V;;;;;;;;;;;;;;;;;;
B;247;3687239;9;20230206 01:08;;;82 B;LYNN ST;BOGGABRI;2382;1022;M;20230111;20230127;460000;R1;R;RESIDENCE;;ABA;;0;AS816022
C;247;3687239;9;20230206 01:08;1/1182882;;;;;;;;;;;;;;;;;;
D;247;3687239;9;20230206 01:08;P;;;;;;;;;;;;;;;;;;
D;247;3687239;9;20230206 01:08;P;;;;;;;;;;;;;;;;;;
D;247;3687239;9;20230206 01:08;V;;;;;;;;;;;;;;;;;;
B;247;4467183;10;20230206 01:08;;;;VIOLET ST;NARRABRI;2390;466;M;20221114;20221220;35000;;R;RESIDENCE;;;;0;AS747100
C;247;4467183;10;20230206 01:08;PT 1/1288410;;;;;;;;;;;;;;;;;;
D;247;4467183;10;20230206 01:08;P;;;;;;;;;;;;;;;;;;
D;247;4467183;10;20230206 01:08;P;;;;;;;;;;;;;;;;;;
D;247;4467183;10;20230206 01:08;V;;;;;;;;;;;;;;;;;;
Z;48;10;10;26;;;;;;;;;;;;;;;;;;;
