A;RTSALEDATA;252;20230213 01:07;VALNET;;;;;;;;;;;;;;;;;;;
B;252;2677264;1;20230213 01:07;;;179 W;FITZROY ST;WALCHA;2354;1821;M;20221228;20230208;410000;R1;R;RESIDENCE;;AAA;;0;AS846074
C;252;2677264;1;20230213 01:07;16/A/6301;;;;;;;;;;;;;;;;;;
D;252;2677264;1;20230213 01:07;P;;;;;;;;;;;;;;;;;;
D;252;2677264;1;20230213 01:07;V;;;;;;;;;;;;;;;;;;
D;252;2677264;1;20230213 01:07;V;;;;;;;;;;;;;;;;;;
B;252;2676853;2;20230213 01:07;;;4023;NIANGALA RD;WALCHA;2354;80.23;H;20221214;20230201;2300000;RU1;3;FARM;;RSB;;0;AS832000
C;252;2676853;2;20230213 01:07;6/755346;;;;;;;;;;;;;;;;;;
D;252;2676853;2;20230213 01:07;P;;;;;;;;;;;;;;;;;;
D;252;2676853;2;20230213 01:07;V;;;;;;;;;;;;;;;;;;
B;252;3833016;3;20230213 01:07;WILLOW GLEN;;69;QUEENSCAIRN RD;WALCHA;2354;325.377;H;20221223;20230203;1100000;RU1;3;OTHER FARM;;RSB;;0;AS836354
C;252;3833016;3;20230213 01:07;9/114339 80, 114, 140/756470 1/1203000;;;;;;;;;;;;;;;;;;
D;252;3833016;3;20230213 01:07;P;;;;;;;;;;;;;;;;;;
D;252;3833016;3;20230213 01:07;P;;;;;;;;;;;;;;;;;;
D;252;3833016;3;20230213 01:07;V;;;;;;;;;;;;;;;;;;
D;252;3833016;3;20230213 01:07;V;;;;;;;;;;;;;;;;;;
D;252;3833016;3;20230213 01:07;V;;;;;;;;;;;;;;;;;;
D;252;3833016;3;20230213 01:07;V;;;;;;;;;;;;;;;;;;
Z;19;3;3;11;;;;;;;;;;;;;;;;;;;
