A;RTSALEDATA;254;20230306 01:08;VALNET;;;;;;;;;;;;;;;;;;;
B;254;2684531;1;20230306 01:08;;;39;LAWSON ST;WARREN;2824;260.07;M;20230209;20230224;30000;R1;R;RESIDENCE;;AAD;;0;AS882264
C;254;2684531;1;20230306 01:08;B/392232;;;;;;;;;;;;;;;;;;
D;254;2684531;1;20230306 01:08;P;;;;;;;;;;;;;;;;;;
D;254;2684531;1;20230306 01:08;P;;;;;;;;;;;;;;;;;;
D;254;2684531;1;20230306 01:08;V;;;;;;;;;;;;;;;;;;
B;254;4471299;2;20230306 01:08;;;;PINECLUMP SOLDIERS RD;PINE CLUMP;2824;624.594;H;20221222;20230216;2392301;;3;FARM;;;;0;AS865153
C;254;4471299;2;20230306 01:08;1/130035 51/752559 1/1187633 2/1263475 1/1264675;;;;;;;;;;;;;;;;;;
D;254;4471299;2;20230306 01:08;P;;;;;;;;;;;;;;;;;;
D;254;4471299;2;20230306 01:08;P;;;;;;;;;;;;;;;;;;
D;254;4471299;2;20230306 01:08;V;;;;;;;;;;;;;;;;;;
B;254;4471300;3;20230306 01:08;WEBEGONG;;388;PINECLUMP SOLDIERS RD;PINE CLUMP;2824;601.9;H;20221222;20230216;1452387;;3;FARM;;;;0;AS865156
C;254;4471300;3;20230306 01:08;92, 93/826936;;;;;;;;;;;;;;;;;;
D;254;4471300;3;20230306 01:08;P;;;;;;;;;;;;;;;;;;
D;254;4471300;3;20230306 01:08;P;;;;;;;;;;;;;;;;;;
D;254;4471300;3;20230306 01:08;V;;;;;;;;;;;;;;;;;;
Z;17;3;3;9;;;;;;;;;;;;;;;;;;;
