A;RTSALEDATA;265;20230619 01:11;VALNET;;;;;;;;;;;;;;;;;;;
B;265;419873;1;20230619 01:11;;;185;PARKER ST;COOTAMUNDRA;2590;562.8;M;20230427;20230608;315000;E2;3;COMMERCIAL;;BBS;;0;AT156588
C;265;419873;1;20230619 01:11;A/390478;;;;;;;;;;;;;;;;;;
D;265;419873;1;20230619 01:11;P;;;;;;;;;;;;;;;;;;
D;265;419873;1;20230619 01:11;P;;;;;;;;;;;;;;;;;;
D;265;419873;1;20230619 01:11;V;;;;;;;;;;;;;;;;;;
D;265;419873;1;20230619 01:11;V;;;;;;;;;;;;;;;;;;
B;265;420098;2;20230619 01:11;;;21;RENEHAN ST;COOTAMUNDRA;2590;910;M;20230530;20230613;200000;R1;R;RESIDENCE;;RNW;;0;AT169473
C;265;420098;2;20230619 01:11;23/B/9530;;;;;;;;;;;;;;;;;;
D;265;420098;2;20230619 01:11;P;;;;;;;;;;;;;;;;;;
D;265;420098;2;20230619 01:11;V;;;;;;;;;;;;;;;;;;
D;265;420098;2;20230619 01:11;V;;;;;;;;;;;;;;;;;;
B;265;418294;3;20230619 01:11;;;7;GILGAL RD;COOTAMUNDRA;2590;1.097;H;20230501;20230613;1320000;RU4;R;RESIDENCE;;SML;;0;AT168613
C;265;418294;3;20230619 01:11;10/1015946;;;;;;;;;;;;;;;;;;
D;265;418294;3;20230619 01:11;P;;;;;;;;;;;;;;;;;;
D;265;418294;3;20230619 01:11;P;;;;;;;;;;;;;;;;;;
D;265;418294;3;20230619 01:11;V;;;;;;;;;;;;;;;;;;
D;265;418294;3;20230619 01:11;V;;;;;;;;;;;;;;;;;;
B;265;418758;4;20230619 01:11;;;28;CUTLER AVE;COOTAMUNDRA;2590;848.8;M;20230530;20230613;410000;R1;R;RESIDENCE;;RNW;;0;AT167498
C;265;418758;4;20230619 01:11;8/249219;;;;;;;;;;;;;;;;;;
D;265;418758;4;20230619 01:11;P;;;;;;;;;;;;;;;;;;
D;265;418758;4;20230619 01:11;V;;;;;;;;;;;;;;;;;;
B;265;3388974;5;20230619 01:11;;5;127;HANLEY ST;GUNDAGAI;2722;230;M;20230516;20230613;270000;;R;RESIDENCE;4;;;0;AT167352
C;265;3388974;5;20230619 01:11;4/SP80669;;;;;;;;;;;;;;;;;;
D;265;3388974;5;20230619 01:11;P;;;;;;;;;;;;;;;;;;
D;265;3388974;5;20230619 01:11;P;;;;;;;;;;;;;;;;;;
D;265;3388974;5;20230619 01:11;V;;;;;;;;;;;;;;;;;;
D;265;3388974;5;20230619 01:11;V;;;;;;;;;;;;;;;;;;
B;265;4485738;6;20230619 01:11;;;16;WONDER VIEW;COOTAMUNDRA;2590;2.236;H;20230117;20230613;240000;RU4;V;VACANT LAND;;SML;;0;AT166235
C;265;4485738;6;20230619 01:11;1/1293130;;;;;;;;;;;;;;;;;;
D;265;4485738;6;20230619 01:11;P;;;;;;;;;;;;;;;;;;
D;265;4485738;6;20230619 01:11;V;;;;;;;;;;;;;;;;;;
B;265;4485738;7;20230619 01:11;;;16;WONDER VIEW;COOTAMUNDRA;2590;2.236;H;20230404;20230613;330000;RU4;V;VACANT LAND;;SML;;0;AT166236
C;265;4485738;7;20230619 01:11;1/1293130;;;;;;;;;;;;;;;;;;
D;265;4485738;7;20230619 01:11;P;;;;;;;;;;;;;;;;;;
D;265;4485738;7;20230619 01:11;P;;;;;;;;;;;;;;;;;;
D;265;4485738;7;20230619 01:11;V;;;;;;;;;;;;;;;;;;
B;265;4485739;8;20230619 01:11;;;;WONDER VIEW;COOTAMUNDRA;2590;2;H;20220803;20230613;240000;RU4;V;VACANT LAND;;SML;;0;AT165835
C;265;4485739;8;20230619 01:11;2/1293130;;;;;;;;;;;;;;;;;;
D;265;4485739;8;20230619 01:11;P;;;;;;;;;;;;;;;;;;
D;265;4485739;8;20230619 01:11;V;;;;;;;;;;;;;;;;;;
B;265;4485739;9;20230619 01:11;;;;WONDER VIEW;COOTAMUNDRA;2590;2;H;20230605;20230613;330000;RU4;V;VACANT LAND;;SML;;0;AT165836
C;265;4485739;9;20230619 01:11;2/1293130;;;;;;;;;;;;;;;;;;
D;265;4485739;9;20230619 01:11;P;;;;;;;;;;;;;;;;;;
D;265;4485739;9;20230619 01:11;P;;;;;;;;;;;;;;;;;;
D;265;4485739;9;20230619 01:11;V;;;;;;;;;;;;;;;;;;
B;265;4485741;10;20230619 01:11;;;23;WONDER VIEW;COOTAMUNDRA;2590;2;H;20220224;20230613;240000;RU4;V;VACANT LAND;;SML;;0;AT165869
C;265;4485741;10;20230619 01:11;4/1293130;;;;;;;;;;;;;;;;;;
D;265;4485741;10;20230619 01:11;P;;;;;;;;;;;;;;;;;;
D;265;4485741;10;20230619 01:11;V;;;;;;;;;;;;;;;;;;
B;265;4485741;11;20230619 01:11;;;23;WONDER VIEW;COOTAMUNDRA;2590;2;H;20220301;20230613;309000;RU4;V;VACANT LAND;;SML;;0;AT165870
C;265;4485741;11;20230619 01:11;4/1293130;;;;;;;;;;;;;;;;;;
D;265;4485741;11;20230619 01:11;P;;;;;;;;;;;;;;;;;;
D;265;4485741;11;20230619 01:11;P;;;;;;;;;;;;;;;;;;
D;265;4485741;11;20230619 01:11;V;;;;;;;;;;;;;;;;;;
B;265;4485742;12;20230619 01:11;;;35;WONDER VIEW;COOTAMUNDRA;2590;2.047;H;20210923;20230615;260000;RU4;V;VACANT LAND;;SML;;0;AT175541
C;265;4485742;12;20230619 01:11;5/1293130;;;;;;;;;;;;;;;;;;
D;265;4485742;12;20230619 01:11;P;;;;;;;;;;;;;;;;;;
D;265;4485742;12;20230619 01:11;P;;;;;;;;;;;;;;;;;;
D;265;4485742;12;20230619 01:11;V;;;;;;;;;;;;;;;;;;
B;265;4485743;13;20230619 01:11;;;24;WONDER VIEW;COOTAMUNDRA;2590;2.22;H;20211007;20230613;257000;RU4;V;VACANT LAND;;SML;;0;AT166453
C;265;4485743;13;20230619 01:11;6/1293130;;;;;;;;;;;;;;;;;;
D;265;4485743;13;20230619 01:11;P;;;;;;;;;;;;;;;;;;
D;265;4485743;13;20230619 01:11;V;;;;;;;;;;;;;;;;;;
Z;65;13;13;37;;;;;;;;;;;;;;;;;;;
