A;RTSALEDATA;251;20211018 02:11;VALNET;
B;251;2675150;1;20211018 02:11;;;129;MANILDRA ST;NARROMINE;2821;2099;M;20210910;20211011;445000;R1;R;RESIDENCE;;NRS;;0;AR507668;
C;251;2675150;1;20211018 02:11;2/2/2928;
D;251;2675150;1;20211018 02:11;P;;;;;;
D;251;2675150;1;20211018 02:11;P;;;;;;
D;251;2675150;1;20211018 02:11;V;;;;;;
B;251;2907364;2;20211018 02:11;;;23;BURRAWAY ST;NARROMINE;2821;3678.058;M;20210823;20211008;440000;B2;3;COMMERCIAL;;NRB;;0;AR504210;
C;251;2907364;2;20211018 02:11;1/104854 16/186682;
D;251;2907364;2;20211018 02:11;P;;;;;;
D;251;2907364;2;20211018 02:11;V;;;;;;
B;251;2674313;3;20211018 02:11;;;119;A'BECKETT ST;NARROMINE;2821;1012;M;20210909;20211011;180000;R1;R;RESIDENCE;;NRS;;0;AR508026;
C;251;2674313;3;20211018 02:11;81/551826;
D;251;2674313;3;20211018 02:11;P;;;;;;
D;251;2674313;3;20211018 02:11;P;;;;;;
D;251;2674313;3;20211018 02:11;V;;;;;;
B;251;2675691;4;20211018 02:11;;;117;TANCRED ST;NARROMINE;2821;808.9;M;20210920;20211012;265000;R1;R;RESIDENCE;;NRS;;0;AR511916;
C;251;2675691;4;20211018 02:11;11/40847;
D;251;2675691;4;20211018 02:11;P;;;;;;
D;251;2675691;4;20211018 02:11;V;;;;;;
B;251;2675902;5;20211018 02:11;;;159;THIRD AVE S;NARROMINE;2821;982.6;M;20210921;20211012;265000;R1;R;RESIDENCE;;NRS;;0;AR512282;
C;251;2675902;5;20211018 02:11;17/1/15250;
D;251;2675902;5;20211018 02:11;P;;;;;;
D;251;2675902;5;20211018 02:11;P;;;;;;
D;251;2675902;5;20211018 02:11;V;;;;;;
D;251;2675902;5;20211018 02:11;V;;;;;;
B;251;3445307;6;20211018 02:11;TARA;;227;WEBBS SIDING RD;NARROMINE;2821;1.203;H;20210831;20211012;265000;R5;R;RESIDENCE;;HRN;;0;AR512482;
C;251;3445307;6;20211018 02:11;1/1137214;
D;251;3445307;6;20211018 02:11;P;;;;;;
D;251;3445307;6;20211018 02:11;V;;;;;;
B;251;2674403;7;20211018 02:11;;;23;ALGALAH ST;NARROMINE;2821;1012;M;20210901;20211012;250000;R1;R;RESIDENCE;;NRN;;0;AR512487;
C;251;2674403;7;20211018 02:11;4B/393331;
D;251;2674403;7;20211018 02:11;P;;;;;;
D;251;2674403;7;20211018 02:11;V;;;;;;
D;251;2674403;7;20211018 02:11;V;;;;;;
B;251;4348739;8;20211018 02:11;;;15;KINGSFORD SMITH PL;NARROMINE;2821;1942;M;20210827;20211008;120404;R1;R;RESIDENCE;;SPK;;0;AR505303;
C;251;4348739;8;20211018 02:11;59/1271467;
D;251;4348739;8;20211018 02:11;P;;;;;;
D;251;4348739;8;20211018 02:11;V;;;;;;
B;251;2675746;9;20211018 02:11;;;139;TEMOIN ST;NARROMINE;2821;992.7;M;20210910;20211008;190000;R1;R;RESIDENCE;;NRS;;0;AR502455;
C;251;2675746;9;20211018 02:11;1/32429;
D;251;2675746;9;20211018 02:11;P;;;;;;
D;251;2675746;9;20211018 02:11;V;;;;;;
B;251;4348749;10;20211018 02:11;;;4;KINGSFORD SMITH PL;NARROMINE;2821;1993;M;20210830;20211011;120576;R1;V;VACANT LAND;;SPK;;0;AR506137;
C;251;4348749;10;20211018 02:11;69/1271467;
D;251;4348749;10;20211018 02:11;P;;;;;;
D;251;4348749;10;20211018 02:11;P;;;;;;
D;251;4348749;10;20211018 02:11;V;;;;;;
B;251;4348731;11;20211018 02:11;;;17;NANCY BIRD-WALTON DR;NARROMINE;2821;2025;M;20210929;20211013;122513;R1;V;VACANT LAND;;SPK;;0;AR515347;
C;251;4348731;11;20211018 02:11;51/1271467;
D;251;4348731;11;20211018 02:11;P;;;;;;
D;251;4348731;11;20211018 02:11;P;;;;;;
D;251;4348731;11;20211018 02:11;V;;;;;;
B;251;2674546;12;20211018 02:11;;;69;BURRAWAY ST;NARROMINE;2821;2.123;H;20210923;20211013;465000;R1;3;COMMERCIAL;;NRN;;0;AR517710;
C;251;2674546;12;20211018 02:11;171/868885;
D;251;2674546;12;20211018 02:11;P;;;;;;
D;251;2674546;12;20211018 02:11;V;;;;;;
D;251;2674546;12;20211018 02:11;V;;;;;;
B;251;2675232;13;20211018 02:11;;;118;MERILBA ST;NARROMINE;2821;1012;M;20210910;20211014;160000;R1;R;RESIDENCE;;NRS;;0;AR522193;
C;251;2675232;13;20211018 02:11;31/518068;
D;251;2675232;13;20211018 02:11;P;;;;;;
D;251;2675232;13;20211018 02:11;V;;;;;;
Z;62;13;13;34;
